group,variable,code,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,growth,growth_17,growth_16,growth_15,growth_14,growth_13,growth_12,growth_11,median_age,edu1,edu2,edu3,edu4,pov,kpov,spov,eng,other_lang,lep,no_ins,pri_ins,cvap,cit_18,non_cit,native,fb,income,owner,renter
US AVERAGE,race,1,309349689,311591919,313914040,316128839,318857056,321418821,323127515,325719178,0.052915809,0.008020558,0.005316098,0.008034211,0.008630079,0.007055431,0.007452443,0.007248205,38,0.12686413,0.27323791,0.29062208,0.30927588,,,,0.786747459,0.213252541,0.081279597,0.104981785,0.672281112,0.706925517,0.223487383,0.069587098,0.865957831,0.134042169,57652,0.638186806,0.361813194
WHITE ALONE: NON-HISPANIC,race,2,196929412,197084523,197243423,197392411,197409353,197534496,197479450,197285202,0.001806688,-9.84E-04,-2.79E-04,6.34E-04,8.58E-05,7.55E-04,8.06E-04,7.88E-04,43,0.076687018,0.27680407,0.301189074,0.345319838,,,,0.94549614,0.05450386,0.015417631,0.071473621,0.749942044,0.793979059,0.190052115,0.015276494,0.96056772,0.03943228,63256,0.716282627,0.283717373
AFRICAN AMERICAN/BLACK ALONE,race,3,38874625,39189528,39623138,39919371,40379066,40695277,40893369,41393491,0.064794606,0.012229905,0.00486769,0.007831063,0.011515587,0.007476263,0.011064435,0.008100477,34,0.151200617,0.31220111,0.33108031,0.205517963,,,,0.90936422,0.09063578,0.030271114,0.122601998,0.518931721,0.712592596,0.25054528,0.040781944,0.905632059,0.094367941,38183,0.419401916,0.580598084
AMERICAN INDIAN ALASKAN NATIVE ALONE,race,4,2553566,2547006,2563505,2521131,2601714,2597249,2676399,2726278,0.067635612,0.018636608,0.030474552,-0.001716176,0.031963036,-0.016529712,0.006477802,-0.002568957,32,0.202914154,0.315423881,0.338280648,0.143381317,,,,0.730877595,0.269122405,0.073162562,0.215890677,0.421894825,0.728867356,0.270926811,0.038923644,0.937348933,0.062651067,40315,0.54096296,0.45903704
ASIAN ALONE,race,5,14728302,15020419,15555530,16012120,16686960,17273777,17556935,18215328,0.236756824,0.037500452,0.016392362,0.035166202,0.042145575,0.029352263,0.035625571,0.019833719,37,0.134703381,0.150315097,0.187706534,0.527274988,,,,0.249603197,0.750396803,0.338487848,0.091560215,0.704686801,0.545938981,0.175609322,0.277105919,0.33563305,0.66436695,80398,0.586957773,0.413042227
Asian Indian alone,aapi_alone,6,2843391,2908204,3049201,3189485,3491052,3699957,3813407,4094539,0.440019681,0.073722002,0.030662519,0.059840128,0.094550374,0.046006806,0.0484825,0.022794262,33,0.259930499,0.074896828,0.106952543,0.558220131,0.0738929,0.0590186,0.0677451,0.229127,0.770873,0.8004646,0.064189,0.821,0.4347551,0.1972519,0.632007,0.2862544,0.7137456,121342.7,0.611,0.389
Bangladeshi alone,aapi_alone,7,128792,140153,146612,160684,160029,176748,175592,176229,0.368322567,0.003627728,-0.006540385,0.104474814,-0.004076324,0.095981229,0.04608535,0.088212001,31,0.352059053,0.144412632,0.17041365,0.333114666,0.2345697,0.280768,0.209519,0.0795991,0.9204009,0.544306,0.1285078,0.467,0.4471666,0.2254434,0.67261,0.258534,0.741466,53441.34,0.462,0.538
Bhutanese alone,aapi_alone,8,15290,9978,17964,29185,31626,21150,30169,23904,0.563374755,-0.207663496,0.42643026,-0.331246443,0.083638856,0.624638165,0.800360794,-0.347416612,29,0.661584653,0.173399361,0.096077361,0.068938626,0.2749937,0.3544232,0.2698327,0.0477075,0.9522925,0.2960123,0.1516087,0.285,0.1275496,0.1239586,0.2515082,0.1284832,0.8715168,48031.48,0.203,0.797
Burmese alone,aapi_alone,9,91085,95990,114295,125716,138077,153734,153262,180474,0.98138003,0.177552166,-0.003070238,0.113393252,0.098324796,0.099925631,0.190696948,0.053850799,27,0.632992209,0.121412299,0.098616695,0.146978797,0.3283509,0.4174581,0.1939648,0.0634482,0.9365518,0.2953421,0.1597803,0.368,0.2098862,0.1623213,0.3722075,0.1614743,0.8385257,41875.75,0.37,0.63
Cambodian alone,aapi_alone,10,231616,253830,256956,271193,265412,275738,259554,269577,0.163896277,0.038616242,-0.058693397,0.038905551,-0.021316922,0.055406373,0.012315329,0.095908746,32,0.436907025,0.219169189,0.213682333,0.130241453,0.1767234,0.2146552,0.2146367,0.2359654,0.7640346,0.5989196,0.1201174,0.568,0.6265137,0.2193794,0.8458931,0.4315085,0.5684915,72484.51,0.594,0.406
