group_name,groupID
Total population,101
Black alone,102
American Indian and Alaska Native alone,103
Asian alone,104
Asian Indian alone,105
Bangladeshi alone,106
Cambodian alone,107
Chinese alone,108
Taiwanese alone,109
Filipino alone,110
Hmong alone,111
Indonesian alone,112
Japanese alone,113
Korean alone,114
Laotian alone,115
Pakistani alone,116
Thai alone,117
Vietnamese alone,118
Asian combo,119
Asian Indian combo,120
Bangladeshi combo,121
Cambodian combo,122
Chinese combo,123
Taiwanese combo,124
Filipino combo,125
Hmong combo,126
Indonesian combo,127
Japanese combo,128
Korean combo,129
Laotian combo,130
Pakistani combo,131
Thai combo,132
Vietnamese combo,133
Native Hawaiian and Other Pacific Islander alone,134
Polynesian alone,135
Native Hawaiian alone,136
Samoan alone,137
Micronesian alone,138
Guamanian alone,139
Native Hawaiian and Other Pacific Islander combo,140
Polynesian combo,141
Native Hawaiian combo,142
Samoan combo,143
Tongan combo,144
Micronesian combo,145
Guamanian combo,146
Burmese alone,147
Nepalese alone,148
Burmese combo,149
Nepalese combo,150
Hispanic all,151
White alone (NH),152
